ft name, total 0, total 1, 0 & diabetes, 0 & no diabetes, 1 & diabetes, 1 & no diabetes,diabetes + 1 / 1,no diabetes + 1 / 1,diabetes + 0/0,no diabetes + 0/0,
OTOSCLEROSIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
PRESBYACUSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
TINNITUS,2432,1,225,2207,0,1,0%,100%,9%,91%,
TINNITUS Au left,2431,2,225,2206,0,2,0%,100%,9%,91%,
NEUROSENSORIAL HARDNESS?ɂǨ,2432,1,225,2207,0,1,0%,100%,9%,91%,
DEAF MUTE,2432,1,225,2207,0,1,0%,100%,9%,91%,
Mitral stenosis,2432,1,225,2207,0,1,0%,100%,9%,91%,
RHEUMATIC MITRAL VALVULOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
HYPERTENSIVE HEART DISEASE,2428,5,225,2203,0,5,0%,100%,9%,91%,
ACUTE MYOCARDIAL INFARCTION_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
NON Q heart attack,2431,2,225,2206,0,2,0%,100%,9%,91%,
ACUTE MYOCARDIAL INFARCTION_3 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
INTERMEDIATE CORONARY SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
ANGINA PECTORIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC HEART OF LUNG,2432,1,225,2207,0,1,0%,100%,9%,91%,
TRICUSPIS INSUFFICIENCY,2432,1,225,2207,0,1,0%,100%,9%,91%,
STENOSING HYPERTROPHIC MYOCARDIOPATHY,2430,3,225,2205,0,3,0%,100%,9%,91%,
MYOCARDIOPATEDIES,2432,1,225,2207,0,1,0%,100%,9%,91%,
AV BLOCK 1?ɬ? GRADE,2432,1,225,2207,0,1,0%,100%,9%,91%,
ATRIOVENTRICULAR BLOCK I GRADE,2432,1,225,2207,0,1,0%,100%,9%,91%,
LEFT BRANCH HEMIBLOCK,2432,1,225,2207,0,1,0%,100%,9%,91%,
WOLFF-PARKINSON-WHITE SYNDROME,2431,2,225,2206,0,2,0%,100%,9%,91%,
OTHER SPECIFIED CONDUCTION DISORDERS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONDUCTION DISORDERS BRUGADA SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
SUPRAVENTRICULAR PAROXYSTICAL TACHYCARDIA,2423,10,225,2198,0,10,0%,100%,9%,91%,
CARDIAC ARREST,2432,1,225,2207,0,1,0%,100%,9%,91%,
VENTRICULAR EXTRASYSTOLES,2432,1,225,2207,0,1,0%,100%,9%,91%,
EXTRASYSTOLE,2431,2,225,2206,0,2,0%,100%,9%,91%,
SINOATRIAL NODE DYSFUNCTION,2432,1,225,2207,0,1,0%,100%,9%,91%,
CARDIAC ARRHYTHMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
CARDIAC ASTHMA,2432,1,225,2207,0,1,0%,100%,9%,91%,
SENILE MYOCARDITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
SUBARACHNOID HEMORRHAGE,2429,4,225,2204,0,4,0%,100%,9%,91%,
CEREBRAL HEMORRHAGE,2432,1,225,2207,0,1,0%,100%,9%,91%,
SUBDURAL HEMORRHAGE,2432,1,225,2207,0,1,0%,100%,9%,91%,
Cerebral thrombosis,2431,2,225,2206,0,2,0%,100%,9%,91%,
AFTERMATH OF CEREBROVASCULAR DISEASES,2431,2,225,2206,0,2,0%,100%,9%,91%,
UNRUPTURATED AORTIC ANEURYSM,2432,1,225,2207,0,1,0%,100%,9%,91%,
ILIAC ARTERY ANEURYSM,2432,1,225,2207,0,1,0%,100%,9%,91%,
RIGHT SUPERFICIAL FEMOR ARTERY ANEURYSM,2432,1,225,2207,0,1,0%,100%,9%,91%,
POST-TRAUMATIC A. TEMPORAL ANEURYSM LEFT,2431,2,225,2206,0,2,0%,100%,9%,91%,
EMBOLISM AND THROMBOSIS OF THE ARTERIES OF THE LOWER LIMBS,2431,2,225,2206,0,2,0%,100%,9%,91%,
EMBOLISM AND ARTERIAL THROMBOSIS right upper limb,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHURG-STRAUSS SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
HORTON DISEASE,2431,2,225,2206,0,2,0%,100%,9%,91%,
STENOSIS OF THE LEFT SUBCLAVIA ARTERIES,2431,2,225,2206,0,2,0%,100%,9%,91%,
Obliterating ARTERIOPATHY of the lower limbs,2426,7,225,2201,0,7,0%,100%,9%,91%,
VASCULITIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
SUPERFICIAL PHLEBITIS OF LOWER LIMBS < THROMBOPHLEBITIS >,2432,1,225,2207,0,1,0%,100%,9%,91%,
DEEP VENOUS THROMBOSIS right lower limb,2432,1,225,2207,0,1,0%,100%,9%,91%,
PERIPHLEBITIS internal saphenous vein right,2432,1,225,2207,0,1,0%,100%,9%,91%,
VENOUS THROMBOSIS dural sinuses,2432,1,225,2207,0,1,0%,100%,9%,91%,
ASCENDING VENOUS THROMBOSIS GR. SAFENA SN,2429,4,225,2204,0,4,0%,100%,9%,91%,
VARICOSE ULCERS EXTREMIT?ɂǨ LOW,2432,1,225,2207,0,1,0%,100%,9%,91%,
INTERNAL HEMORRHOIDS,2432,1,225,2207,0,1,0%,100%,9%,91%,
HEMORRHOIDS,2429,4,225,2204,0,4,0%,100%,9%,91%,
THROMBIZED HEMORRHOIDS,2432,1,225,2207,0,1,0%,100%,9%,91%,
HEMORRHOID CRISIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
ESOPHAGEAL VARICES WITHOUT BLEEDING,2432,1,225,2207,0,1,0%,100%,9%,91%,
VARICOCELE,2424,9,225,2199,0,9,0%,100%,9%,91%,
VENOUS INSUFFICIENCY LOWER LIMBS,2431,2,225,2206,0,2,0%,100%,9%,91%,
COLD < RINOPHARYNGITIS >,2432,1,225,2207,0,1,0%,100%,9%,91%,
MAXILLARY SINUSITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE FRONTAL SINUSITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
Acute mucopurulent SINUSITIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
ACUTE PHARYNGITIS,2428,5,225,2203,0,5,0%,100%,9%,91%,
TONSILLITIS,2424,9,225,2199,0,9,0%,100%,9%,91%,
PARAINFLUENZA SYNDROME,2431,2,225,2206,0,2,0%,100%,9%,91%,
NASAL SEPTAL DEVIATION,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC RHINITIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
CHRONIC ETHMOIDAL SINUSITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC SINUSITIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
ALLERGIC RHINITIS,2428,5,225,2203,0,5,0%,100%,9%,91%,
NASAL TURBINATE HYPERTROPHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
POLYP VOCAL CORDS OR LARYNX,2431,2,225,2206,0,2,0%,100%,9%,91%,
VOCAL CORD GRANULOMA,2432,1,225,2207,0,1,0%,100%,9%,91%,
LOBAR PNEUMONIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
Right midthoracic BRONCHOPNEUMONITIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
BRONCHITIS_1 (my edit),2431,2,225,2206,0,2,0%,100%,9%,91%,
CHRONIC OBSTRUCTIVE BRONCHITIS WITH FLARE,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC ASTHATIFORM BRONCHITIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
Extrinsic asthma,2432,1,225,2207,0,1,0%,100%,9%,91%,
BRONCHIECTASIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC LUNG FIBROSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
Exudative pleurisy (viral?),2431,2,225,2206,0,2,0%,100%,9%,91%,
PNEUMOTHORAX,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE PNEUMOTHORAX on the RIGHT,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE PULMONARY EDEMA,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC RESPIRATORY INSUFFICIENCY,2428,5,225,2203,0,5,0%,100%,9%,91%,
DIAPHRAGM RELAXATION,2432,1,225,2207,0,1,0%,100%,9%,91%,
TOOTH ABSCESS,2432,1,225,2207,0,1,0%,100%,9%,91%,
TOOTH ABSCESS_1 (my edit),2431,2,225,2206,0,2,0%,100%,9%,91%,
PERIODONTAL ABSCESS,2432,1,225,2207,0,1,0%,100%,9%,91%,
ALVEOLAR PYORRHEA,2432,1,225,2207,0,1,0%,100%,9%,91%,
DERMOID CYST LEFT OVARY,2431,2,225,2206,0,2,0%,100%,9%,91%,
CARDIAC ACHALASIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
GASTROESOPHAGEAL REFLUX WITH GRADE III AND IV ESOPHAGITIS < GERD,2428,5,225,2203,0,5,0%,100%,9%,91%,
MALLORY-WEISS SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE GASTRIC ULCER WITH HEMORRHAGE of the stump,2429,4,225,2204,0,4,0%,100%,9%,91%,
ACUTE GASTRIC ULCER,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE DUODENAL ULCER WITH HEMORRHAGE_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE DUODENAL ULCER WITH PERFORATION,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE DUODENAL ULCER,2432,1,225,2207,0,1,0%,100%,9%,91%,
DUODENAL ULCER WITH PERFORATION,2432,1,225,2207,0,1,0%,100%,9%,91%,
Chronic duodenal ulcer,2432,1,225,2207,0,1,0%,100%,9%,91%,
GASTRODUODENAL ULCER,2432,1,225,2207,0,1,0%,100%,9%,91%,
GASTRODIJUNAL ULCER WITH HEMORRHAGE,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE GASTRITIS,2425,8,225,2200,0,8,0%,100%,9%,91%,
HYPERTROPHIC GASTRITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
SUPERFICIAL GASTRITIS,2429,4,225,2204,0,4,0%,100%,9%,91%,
GASTRITIS AND GASTRODUODENITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
DYSPEPSIA,2427,6,225,2202,0,6,0%,100%,9%,91%,
ACUTE APPENDICITIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
ACUTE APPENDICITIS WITH PERITONEAL ABSCESS,2431,2,225,2206,0,2,0%,100%,9%,91%,
ACUTE APPENDICITIS_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
UMBILICAL HERNIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
Operated sub-umbilical LAPAROCELE,2432,1,225,2207,0,1,0%,100%,9%,91%,
LAPAROCELE,2432,1,225,2207,0,1,0%,100%,9%,91%,
EPIGASTRIC HERNIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
BOWEL OBSTRUCTION,2430,3,225,2205,0,3,0%,100%,9%,91%,
DIVERTICULUS WITHOUT DUODENAL DIVERTICULITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONSTIPATION,2431,2,225,2206,0,2,0%,100%,9%,91%,
IRRITABLE COLON,2430,3,225,2205,0,3,0%,100%,9%,91%,
ANAL FISCAL,2431,2,225,2206,0,2,0%,100%,9%,91%,
ANAL FISTULA,2431,2,225,2206,0,2,0%,100%,9%,91%,
PERIANAL ABSCESS,2432,1,225,2207,0,1,0%,100%,9%,91%,
POSTOPERATIVE POSTINFECTIVE PERITONEAL ADHERENCES,2432,1,225,2207,0,1,0%,100%,9%,91%,
RECTAL POLYP,2430,3,225,2205,0,3,0%,100%,9%,91%,
RECTAL PROLAPSE,2432,1,225,2207,0,1,0%,100%,9%,91%,
Ulcerative PROCTITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
INTESTINE PERFORATION,2432,1,225,2207,0,1,0%,100%,9%,91%,
LIVER ABSCESS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHOLECYSTITIS WITH CHOLELITHIASIS cholecystectomy procedure,2428,5,225,2203,0,5,0%,100%,9%,91%,
CHOLEDOCULAR LITHIASIS,2429,4,225,2204,0,4,0%,100%,9%,91%,
GALLBLADDER HYDROPS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHOLANGITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
PANCREAS CYSTS AND PSEUDOCYSTS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CELIAC DISEASE,2431,2,225,2206,0,2,0%,100%,9%,91%,
NEPHROTIC SYNDROME,2430,3,225,2205,0,3,0%,100%,9%,91%,
ACUTE TUBULAR NECROSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
RENE GRINZO on the right due to the outcome of pyelonephritic episodes due to reflux,2432,1,225,2207,0,1,0%,100%,9%,91%,
SMALL UNILATERAL KIDNEY with slight insufficiency. renal,2432,1,225,2207,0,1,0%,100%,9%,91%,
HYDRONEPHROSIS left,2432,1,225,2207,0,1,0%,100%,9%,91%,
STENOSIS OF THE LEFT PIELOURETERAL JOINT,2430,3,225,2205,0,3,0%,100%,9%,91%,
BLADDER STONE,2431,2,225,2206,0,2,0%,100%,9%,91%,
CYSTITIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
HYPERACTIVITY?ɂǨ BLADDER,2432,1,225,2207,0,1,0%,100%,9%,91%,
URETHRAL STENOSIS urethral meatus,2429,4,225,2204,0,4,0%,100%,9%,91%,
ACUTE PROSTATITIS,2429,4,225,2204,0,4,0%,100%,9%,91%,
PROSTATITIS,2429,4,225,2204,0,4,0%,100%,9%,91%,
TIGHT PHIMOSIS,2427,6,225,2202,0,6,0%,100%,9%,91%,
AZOOSPERMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
INDURATIO PENIS PLASTICA,2431,2,225,2206,0,2,0%,100%,9%,91%,
TESTICLE TORSION,2432,1,225,2207,0,1,0%,100%,9%,91%,
SOLITARY CYST OF THE LEFT BREAST,2432,1,225,2207,0,1,0%,100%,9%,91%,
FIBROCYSTIC MASTOPATHY,2430,3,225,2205,0,3,0%,100%,9%,91%,
FIBROADENOSIS OF THE BREAST,2432,1,225,2207,0,1,0%,100%,9%,91%,
BARTHOLIN GLAND ABSCESS,2432,1,225,2207,0,1,0%,100%,9%,91%,
ENDOMETRIOSIS OVARY,2432,1,225,2207,0,1,0%,100%,9%,91%,
ENDOMETRIOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
RECTOCELE,2429,4,225,2204,0,4,0%,100%,9%,91%,
UTERINE PROLAPSE,2432,1,225,2207,0,1,0%,100%,9%,91%,
RIGHT OVARIAN CYSTS in torsion,2429,4,225,2204,0,4,0%,100%,9%,91%,
CERVICAL DYSPLASIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
VAGINA CYSTS,2432,1,225,2207,0,1,0%,100%,9%,91%,
STRESS URINARY INCONTINENCE IN WOMEN,2432,1,225,2207,0,1,0%,100%,9%,91%,
OLIGOMENORRHEA,2432,1,225,2207,0,1,0%,100%,9%,91%,
IRREGULAR MENSTRUAL CYCLE,2430,3,225,2205,0,3,0%,100%,9%,91%,
INTERMESTRUAL SPOTTING,2432,1,225,2207,0,1,0%,100%,9%,91%,
METRORHAGIA in fibrous uterus,2432,1,225,2207,0,1,0%,100%,9%,91%,
HABITUAL ABORTION WITHOUT CURRENT PREGNANCY,2432,1,225,2207,0,1,0%,100%,9%,91%,
TUBARIC PREGNANCY,2432,1,225,2207,0,1,0%,100%,9%,91%,
Miscarriage,2420,13,225,2195,0,13,0%,100%,9%,91%,
SPONTANEOUS ABORTION WITHOUT REFERRED COMPLICATION COMPLETE,2432,1,225,2207,0,1,0%,100%,9%,91%,
VOLUNTARY INTERRUPTION OF PREGNANCY [IVG],2432,1,225,2207,0,1,0%,100%,9%,91%,
THREAT OF ABORTION,2432,1,225,2207,0,1,0%,100%,9%,91%,
"ESSENTIAL HYPERTENSION IN PREGNANCY, PUERPERIAL DELIVERY",2432,1,225,2207,0,1,0%,100%,9%,91%,
Left gluteal reg abscess,2431,2,225,2206,0,2,0%,100%,9%,91%,
PILONIDAL CYSTS WITH ABSCESS,2429,4,225,2204,0,4,0%,100%,9%,91%,
SEBORRHEIC DERMATITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
ATOPIC DERMATITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
POLYMORPHOUS SOLAR PHOTODERMATITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
ECZEMA of the face with folliculitis,2432,1,225,2207,0,1,0%,100%,9%,91%,
PENFIGO,2432,1,225,2207,0,1,0%,100%,9%,91%,
ERYTHEMA NODOSO,2432,1,225,2207,0,1,0%,100%,9%,91%,
Relapsing ROSACEA,2431,2,225,2206,0,2,0%,100%,9%,91%,
ERYTHEMA of the back,2430,3,225,2205,0,3,0%,100%,9%,91%,
PSORIASIC ARTHROPATHY,2429,4,225,2204,0,4,0%,100%,9%,91%,
PITIRIASIS ROSEA,2432,1,225,2207,0,1,0%,100%,9%,91%,
LICHEN RUBER PLANUS,2432,1,225,2207,0,1,0%,100%,9%,91%,
LICHEN,2431,2,225,2206,0,2,0%,100%,9%,91%,
ITCH of ndd,2432,1,225,2207,0,1,0%,100%,9%,91%,
LICHEN SCLERO-ATROPHIC preputial,2432,1,225,2207,0,1,0%,100%,9%,91%,
INGROWN TOE LEFT TOE,2431,2,225,2206,0,2,0%,100%,9%,91%,
ALOPECIA areata,2432,1,225,2207,0,1,0%,100%,9%,91%,
ALOPECIA AREATA,2432,1,225,2207,0,1,0%,100%,9%,91%,
TELOGEN EFFLUVIUM,2432,1,225,2207,0,1,0%,100%,9%,91%,
HIRSUTISM,2432,1,225,2207,0,1,0%,100%,9%,91%,
NODULOCISTIC ACNE,2432,1,225,2207,0,1,0%,100%,9%,91%,
SEBACEOUS CYST,2432,1,225,2207,0,1,0%,100%,9%,91%,
IDIOPATHIC HURTICARIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
CHRONIC HURTICARIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
VITILIGO,2431,2,225,2206,0,2,0%,100%,9%,91%,
SYSTEMIC LUPUS ERYTHEMATOUS,2432,1,225,2207,0,1,0%,100%,9%,91%,
SJOGREN'S SYNDROME,2430,3,225,2205,0,3,0%,100%,9%,91%,
CONNECTIVE DISEASE others,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONNECTIVE DISEASE,2431,2,225,2206,0,2,0%,100%,9%,91%,
RHEUMATOID ARTHRITIS,2427,6,225,2202,0,6,0%,100%,9%,91%,
GENERALIZED ARTHROSIS_1 (my edit),2428,5,225,2203,0,5,0%,100%,9%,91%,
SHOULDER ARTHROSIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
HIP ARTHROSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
KNEE ARTHROSIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
RHIZARTHROSIS RIGHT,2432,1,225,2207,0,1,0%,100%,9%,91%,
POLYARTHROPATHY - POLYARTHRITIS -,2432,1,225,2207,0,1,0%,100%,9%,91%,
MONOARTHRITIS left knee of ndd,2432,1,225,2207,0,1,0%,100%,9%,91%,
MONOARTHRITIS of the elbow (gouty???),2432,1,225,2207,0,1,0%,100%,9%,91%,
INTERNAL MENISCUS INJURY,2431,2,225,2206,0,2,0%,100%,9%,91%,
EXTERNAL MENISCUS INJURY in the left knee (arthroscopy surgery),2432,1,225,2207,0,1,0%,100%,9%,91%,
INVERTED ANTERIOR CRUCATE LIGAMENT INJURY,2432,1,225,2207,0,1,0%,100%,9%,91%,
LEFT KNEE MENISCUS INJURY,2431,2,225,2206,0,2,0%,100%,9%,91%,
MENISCOPATHY right knee,2431,2,225,2206,0,2,0%,100%,9%,91%,
KNEE ANKYLOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
LEFT COXALGIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
RIGHT GONALGIA,2428,5,225,2203,0,5,0%,100%,9%,91%,
SPONDYLITIS with specific spondylodiscitis,2431,2,225,2206,0,2,0%,100%,9%,91%,
LUMBOSACRAL SPONDYLOARTHROSIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
LUMBAR SPONDYLOSIS WITH MYELOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
SPONDYLOARTHROSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
LEFT LUMBOSCIATALGIA,2422,11,225,2197,0,11,0%,100%,9%,91%,
HERNIATED DISC,2432,1,225,2207,0,1,0%,100%,9%,91%,
LUMBAR DYSCOPATHY WITH MYELOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
CERVICAL SPINAL CANAL STENOSIS with SPONDYLOGICAL MYELOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
DIFFUSED CERVICOBRACHIAL SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
CERVICOBRACHIALGIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
STIFF NECK,2432,1,225,2207,0,1,0%,100%,9%,91%,
LEFT CERVICOBRACHIALGIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
LUMBAR SPINAL CANAL STENOSIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
LUMBOSCIATALGIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
DORSALGIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
COCCYDYNY,2432,1,225,2207,0,1,0%,100%,9%,91%,
ROTATOR CUFF SYNDROME,2431,2,225,2206,0,2,0%,100%,9%,91%,
ROTATOR CUFF SYNDROME_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
CALCIFIC SHOULDER TENDINITIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
WRIST CARPUS ENTHESOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
ENTHESOPATHY OF THE HIP REGION right coxalgia,2430,3,225,2205,0,3,0%,100%,9%,91%,
ANKLE ENTHESOPATHY TARSO arthralgia I metatarso phalangeal,2432,1,225,2207,0,1,0%,100%,9%,91%,
LEFT CALCANEAL SPUR,2432,1,225,2207,0,1,0%,100%,9%,91%,
BAKER CYST RIGHT KNEE,2432,1,225,2207,0,1,0%,100%,9%,91%,
COMPLETE ATRAUMATIC RUPTURE OF THE ROTATOR CUFF,2431,2,225,2206,0,2,0%,100%,9%,91%,
ATRAUMATIC BICEPS LONG HEAD TENDON RUPTURE,2432,1,225,2207,0,1,0%,100%,9%,91%,
ATRAUMATIC DACHILLE TENDON RUPTURE,2432,1,225,2207,0,1,0%,100%,9%,91%,
DIASTASIS RECTI ABDOMEN,2432,1,225,2207,0,1,0%,100%,9%,91%,
FIBROMYALGIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
CHRONIC OSTEOMYELITIS II phalanx 2?Ǭ? left hand finger,2432,1,225,2207,0,1,0%,100%,9%,91%,
POLIOMYELITIS RESULTS,2431,2,225,2206,0,2,0%,100%,9%,91%,
JUVENILE OSTEOCONDROSITY OSGOOD-SCHLATTER TIBIAL TUBEROSITY,2432,1,225,2207,0,1,0%,100%,9%,91%,
OSTEOPENIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
SPONTANEOUS vertebral FRACTURES,2432,1,225,2207,0,1,0%,100%,9%,91%,
VERTEBRAL COLLAPSE,2432,1,225,2207,0,1,0%,100%,9%,91%,
ASEPTIC NECROSIS OF THE FEMUR HEAD AND NECK,2432,1,225,2207,0,1,0%,100%,9%,91%,
HALLUX VALGUS,2429,4,225,2204,0,4,0%,100%,9%,91%,
Bilat. arthritic varus knee.,2431,2,225,2206,0,2,0%,100%,9%,91%,
ACQUIRED KYPHOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
SCOLIOSIS with anterolisthesis of L5 on S1,2429,4,225,2204,0,4,0%,100%,9%,91%,
CEREBRAL MENINGOCELE,2432,1,225,2207,0,1,0%,100%,9%,91%,
TRANSPOSITION OF LARGE VASES,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONGENITAL MITRAL INSUFFICIENCY,2432,1,225,2207,0,1,0%,100%,9%,91%,
OBSTRUCTIVE HEART ANOMALIES,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONGENITAL ESOPHAGEAL HIATUS HERNIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONGENITAL MEGACOLON,2432,1,225,2207,0,1,0%,100%,9%,91%,
HORSESHOE KIDNEY_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
CONGENITAL HIP DISLOCATION,2432,1,225,2207,0,1,0%,100%,9%,91%,
FOOT TALUS FLAT VALGUS,2432,1,225,2207,0,1,0%,100%,9%,91%,
SPONDYLOLISTHESIS L4 on L5,2432,1,225,2207,0,1,0%,100%,9%,91%,
IMPERFECT OSTEOGENESIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
KLINEFELTER SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONGENITAL MALFORMATION SYNDROMES,2432,1,225,2207,0,1,0%,100%,9%,91%,
SPONTANEOUS ABORTION ABORTED FEtus,2432,1,225,2207,0,1,0%,100%,9%,91%,
LOCALIZED SUBDURAL HEMATOMA,2432,1,225,2207,0,1,0%,100%,9%,91%,
DIZZINESS,2423,10,225,2198,0,10,0%,100%,9%,91%,
FEVER,2431,2,225,2206,0,2,0%,100%,9%,91%,
TREMOR,2432,1,225,2207,0,1,0%,100%,9%,91%,
GAIT DISORDERS_1 (my edit),2429,4,225,2204,0,4,0%,100%,9%,91%,
CHRONIC SKIN ITCHING SINE MATERIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
SKIN RASHES,2432,1,225,2207,0,1,0%,100%,9%,91%,
HEADACHE,2424,9,225,2199,0,9,0%,100%,9%,91%,
Motor aphasia during migraine (aura),2432,1,225,2207,0,1,0%,100%,9%,91%,
Right retroauricular LYMPHADENOPATHY,2431,2,225,2206,0,2,0%,100%,9%,91%,
DYSPNEA due to exertion,2431,2,225,2206,0,2,0%,100%,9%,91%,
SLEEP APNEA_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
COUGH in case of flu,2422,11,225,2197,0,11,0%,100%,9%,91%,
THORACOALGIA by ndd,2432,1,225,2207,0,1,0%,100%,9%,91%,
VOMITING with emission of blood streaks,2432,1,225,2207,0,1,0%,100%,9%,91%,
VOMIT,2432,1,225,2207,0,1,0%,100%,9%,91%,
DYSPHAGIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
DIARRHEA NDD,2428,5,225,2203,0,5,0%,100%,9%,91%,
ABDOMINAL PAIN,2432,1,225,2207,0,1,0%,100%,9%,91%,
EPIGASTRALGIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
ABDOMINAL PELVIC PAIN,2432,1,225,2207,0,1,0%,100%,9%,91%,
ASCITES,2432,1,225,2207,0,1,0%,100%,9%,91%,
IFG ALTERED FASTING GLUCOSE,2428,5,225,2203,0,5,0%,100%,9%,91%,
TRANSAMINASE INCREASE,2429,4,225,2204,0,4,0%,100%,9%,91%,
GLYCOSURIA FROM RENAL DIABETES,2432,1,225,2207,0,1,0%,100%,9%,91%,
POSITIVE STOOL OCCULT BLOOD,2432,1,225,2207,0,1,0%,100%,9%,91%,
SENILE DEBILITY,2432,1,225,2207,0,1,0%,100%,9%,91%,
FRACTURE OF NASAL BONES,2430,3,225,2205,0,3,0%,100%,9%,91%,
HEAD TRAUMA,2431,2,225,2206,0,2,0%,100%,9%,91%,
